Years;Number of fires;Burnt Area (ha) 
1975;4017;25829
1976;9800;88344
1977;2432;19875
1978;6973;46701
1979;4551;59727
1980;5040;22176
1981;5173;27711
1982;5308;55145
1983;4659;53729
1984;5672;27202
1985;6249;57368
1986;4353;51860
1987;3043;14108
1988;2837;6701
1989;6763;75566
1990;5881;72625
1991;3888;10130
1992;4002;16593
1993;4769;16698
1994;4618;24995
1995;6563;18137
1996;6401;11400
1997;8005;21581
1998;6289;19282
1999;4960;15906
2000;4603;24078
2001;4309;20642
2002;4097;30160
2003;7023;73278
2004;3775;13711
2005;4698;22135
2006;4615;7964
2007;3367;8573
2008;2809;6046
2009;4888;17036
2010;3862;11318
2011;4290;11768
2012;3927;8333
2013;2223;3608
2014;2778;7493
2015;4440;11160
2016;4285;16093
